source,target,weight
23 More Minutes,Anger Means,1
23 More Minutes,Capitalist Casualties,1
23 More Minutes,Econochrist,2
23 More Minutes,Fifteen,1
23 More Minutes,Juke,1
23 More Minutes,MDC,1
23 More Minutes,Nuisance,1
23 More Minutes,Paxton Quiggly,1
23 More Minutes,Plaid Retina,2
23 More Minutes,Schlong,1
23 More Minutes,Sharkbait,1
23 More Minutes,Spitboy,1
23 More Minutes,Dread,1
23 More Minutes,Total Fucked,1
647-F,Bitch Fight,1
647-F,Blasting Agents,1
647-F,Capitol Punishment,1
647-F,Melvins,1
647-F,NOFX,2
647-F,Neurosis,3
647-F,No Use for a Name,1
AFI,Dead and Gone,1
AFI,Hellbillies,2
AFI,MDC,1
AFI,Parasites,1
AFI,Rancid,1
AFI,Rudiments,1
AFI,Screw 32,1
AFI,Swinging Utters,1
AFI,Total Chaos,1
Acid Rain,Crash n Burn,1
Acid Rain,Primus,1
Acid Rain,Mr T Experience,1
All You Can Eat,Green Day,1
All You Can Eat,Hellbillies,1
All You Can Eat,Jawbreaker,1
All You Can Eat,Monsula,1
All You Can Eat,Rancid,1
All You Can Eat,Schlong,1
All You Can Eat,Tyrannicide,1
All You Can Eat,Voodoo Glow Skulls,1
Anger Means,Blatz,1
Anger Means,Detonators,1
Anger Means,Econochrist,1
Anger Means,Filth,2
Anger Means,Final Conflict,1
Anger Means,Fixtures,1
Anger Means,Krupted Peasant Farmers,1
Anger Means,MDC,1
Anger Means,Monsula,1
Anger Means,No Alternative,1
Anger Means,Nuisance,1
Anger Means,Paxton Quiggly,1
Anger Means,Sinister Sisters of Satan,1
Anger Means,Vagrants,1
Antigone (Play),Gr'Ups,1
Antigone (Play),Tribe 8,1
Asbestos Death,Blasting Agents,1
Asbestos Death,Blatz,1
Asbestos Death,Blister,1
Asbestos Death,Bulimia Banquet,1
Asbestos Death,Corrupted Morals,1
Asbestos Death,Econochrist,1
Asbestos Death,Fifteen,1
Asbestos Death,Filth,2
Asbestos Death,Green Day,1
Asbestos Death,Happy World,1
Asbestos Death,Neurosis,1
Asbestos Death,Paul's God,1
Asbestos Death,Platypus Scourge,1
Asbestos Death,Preachers That Lie,1
Asbestos Death,Scherzo,1
Asbestos Death,Hated,1
Bad Religion,Creamers,1
Bad Religion,Dead Jacksons,1
Bad Religion,Grim,1
Bad Religion,Lethal Gospel,1
Bad Religion,Lookouts,1
Bad Religion,NOFX,2
Bad Religion,No Use For a Name,1
Bad Religion,Spent,1
Bad Religion,Mr T Experience,1
Bad Religion,Weeny Roast,1
Bad Samaritans,Bl'ast,1
Bad Samaritans,Cringer,1
Bad Samaritans,Crutch,1
Bad Samaritans,Green Day,1
Bad Samaritans,Hellbillies,1
Bad Samaritans,Ill Repute,2
Bad Samaritans,Johnny Peebucks & Swingin Utters,1
Bad Samaritans,Dread,1
Beatnigs,Bitch Fight,1
Beatnigs,Bo,1
Beatnigs,Christ on Parade,1
Beatnigs,Corrupted Morals,1
Beatnigs,Crimpshrine,1
Beatnigs,Dead Jacksons,1
Beatnigs,Eskimo,1
Beatnigs,Fixtures,1
Beatnigs,Gargoyles,1
Beatnigs,MDC,3
Beatnigs,Neurosis,1
Beatnigs,Operation Ivy,1
Beatnigs,Paranoia,1
Beatnigs,Public Humiliation,1
Beatnigs,Slambodians,1
Beatnigs,Stikky,1
Beatnigs,Surrogate Brains,1
Beatnigs,Vagrants,1
Beatnigs,Weeny Roast,1
Beatnigs,Yeastie Girlz,1
Big Drill Car,Fifteen,1
Big Drill Car,Grim,1
Big Drill Car,Ill Repute,1
Big Drill Car,Jerme Spew,1
Big Drill Car,NOFX,1
Big Drill Car,Platypus Scourge,1
Big Drill Car,Skin Flutes,1
Big Drill Car,Spitboy,1
Big Ed,Bitchcraft,2
Big Ed,Citizen Fish,1
Big Ed,Lung Butter,1
Big Ed,Neurosis,1
Big Ed,Nuisance,1
Big Ed,Paxton Quiggly,1
Big Ed,Plaid Retina,1
Big Ed,Spitboy,1
Big Ed,Strawman,1
Big Ed,Swinging Utters,1
Big Ed,Victims Family,1
Bikini Kill,Monsula,1
Bikini Kill,Raooul,1
Bikini Kill,Tourettes,2
Bikini Kill,Tribe 8,2
Bikini Kill,Vagrants,1
Bikini Kill,Wynona Riders,1
Bitch Fight,Blasting Agents,2
Bitch Fight,Christ on Parade,1
Bitch Fight,Corrupted Morals,2
Bitch Fight,Crimpshrine,1
Bitch Fight,Frightwig,1
Bitch Fight,MDC,1
Bitch Fight,Neurosis,1
Bitch Fight,Operation Ivy,1
Bitch Fight,Screeching Weasel,1
Bitch Fight,Slambodians,1
Bitch Fight,Stikky,1
Bitch Fight,Surrogate Brains,1
Bitch Fight,Mr T Experience,1
Bitch Fight,Vagrants,1
Bitch Fight,Vomit Launch,1
Bitch Fight,Yeastie Girlz,1
Bitchcraft,Green Day,1
Bitchcraft,Insaints,1
Bitchcraft,Johnny Peebucks & Swingin Utters,1
Bitchcraft,Neurosis,1
Bitchcraft,Nuisance,2
Bitchcraft,Plaid Retina,2
Bitchcraft,Pot Valiant,1
Bitchcraft,Raooul,1
Bitchcraft,Schlong,2
Bitchcraft,Spitboy,2
Bitchcraft,Strawman,1
Bitchcraft,Unwound,1
Bitchcraft,White Trash Debutantes,1
Bl'ast,Green Day,1
Bl'ast,Lifeline,1
Bl'ast,No Use for a Name,1
Bl'ast,Scherzo,1
Bl'ast,Sinister Sisters of Satan,1
Bl'ast,Slambodians,2
Bl'ast,Mr T Experience,1
Bl'ast,Offspring,1
Bl'ast,Tilt,1
Bl'ast,Unit Pride,1
Blasting Agents,Bo,1
Blasting Agents,Corrupted Morals,1
Blasting Agents,Lethal Gospel,1
Blasting Agents,Public Humiliation,1
Blasting Agents,Screeching Weasel,1
Blatz,Blister,1
Blatz,Capitalist Casualties,1
Blatz,Capitol Punishment,1
Blatz,Corrupted Morals,1
Blatz,East Bay Mud,1
Blatz,Econochrist,2
Blatz,Engage,1
Blatz,False Sacrament,1
Blatz,Fifteen,3
Blatz,Filth,4
